Alloy Designation,Mg (wt%),Zn(wt%),Al(wt%),Ca(wt%),Sr(wt%),Zr(wt%),Li(wt%),Y(wt%),,Holding Temperature,Holding Time,,Working Type,Working Temperature,% Deformation,,Matrix Phase,Matrix Grain Size,% Matrix Phase,Precipitate Phase,Precipitate Size,% Precipitate,,Hardness  (HV) ,Elastic modulus  (GPa) ,YS  (MPa) ,UTS  (MPa) ,%Elongation,,Rs (Ω),Rp (Ω),Icorr (μA/cm^2),Ecorr (V),CR (mm/y) ,Solution Name,Reference,Data Entered by
Mg94Zn2Y4,,2,,,,,,4,,,,,,,,,,,,,,,,108.9,,246.4,389.6,2.8,,,,,,,,,
Mg94Zn2Y4,,2,,,,,,4,,,,,,,,,,,,,,,,129.7,,272.3,410.7,2.8,,,,,,,,,
Mg-2.1Zn-0.26Y,,2.1,,,,,,0.26,,,,,,,,,,0.81,,,,,,,,360,410,12,,,,,,,,,
Mg-3.3Zn-0.43Y,,3.3,,,,,,0.43,,,,,,,,,,0.5,,,,,,,,410,440,12,,,,,,,,,
Mg-1.98Zn-0.36Y,,1.98,,,,,,0.36,,,,,,,,,,,,,,,,,,198,260,23,,,,,,,,,
Mg-1.84Zn-0.82Y,,1.84,,,,,,0.82,,,,,,,,,,,,,,,,,,213,266,25,,,,,,,,,
Mg-1.73Zn-1.54Y,,1.73,,,,,,1.54,,,,,,,,,,,,,,,,,,215,266,27,,,,,,,,,
Mg-1Zn-1Mn,,1,,,,,,,,,,,,,,,,,,,,,,,,246.5,280.3,21.8,,,,,,,,,
Mg-2Zn-1Mn,,2,,,,,,,,,,,,,,,,,,,,,,,,248.8,283.8,20.9,,,,,,,,,
Mg-3Zn-1Mn,,3,,,,,,,,,,,,,,,,,,,,,,,,275.9,345.5,10.5,,,,,,,,,
Mg-5Zn-1Mn,,5,,,,,,,,,,,,,,,,30,,,,,,,,229.9,299.88,11.5,,,,,,,,,
Mg-6Zn-1Mn,,6,,,,,,,,,,,,,,,,,,,,,,,,108,335,20.3,,,,,,,,,
Mg-6Zn-1Mn,,6,,,,,,,,,,,,,,,,,,,,,,,,154,460,20.5,,,,,,,,,
Mg-6Zn-1Mn,,6,,,,,,,,,,,,,,,,,,,,,,,,209,305,11.55,,,,,,,,,
Mg-1Zn-1Mn,,1,,,,,,,,,,,,,,,,,,,,,,,,,175,15,,,,,,,,,
Mg-1Zn-1Mn,,1,,,,,,,,,,,,,,,,,,,,,,,,,275,22,,,,,,,,,
Mg-6Zn-1Mn,,6,,,,,,,,,,,,,,,,,,,,,,,,213,312,11.1,,,,,,,,,
Mg-4Zn-1Pb,,4,,,,,,,,,,,,,,,,,,,,,,65,,84,233,14,,,,,,,,,
Mg-4Zn-1Sn,,4,,,,,,,,,,,,,,,,,,,,,,67,,104,237,10,,,,,,,,,
Mg-4Zn-0.5Zr,,4,,,,0.5,,,,,,,,,,,,,,,,,,,64,96,176,4,,,,,,,,,
Mg-4Zn-0.5Zr,,4,,,,0.5,,,,,,,,,,,,,,,,,,,68,92,134,3,,,,,,,,,
Mg-3Zn-0.6Zr,,3,,,,0.5,,,,,,,,,,,,,,,,,,,,215,300,9,,,,,,,,,
Mg-6Zn-0.6Zr,,6,,,,0.5,,,,,,,,,,,,,,,,,,,,235,315,8,,,,,,,,,
Mg-6Zn-0.5Zr,,6,,,,0.5,,,,,,,,,,,,,,,,,,,,227,266,15.8,,,,,,,,,
Mg-6Zn-0.5Zr,,6,,,,0.5,,,,,,,,,,,,,,,,,,,,269,315,12.3,,,,,,,,,
Mg-5.16Zn-0.57Zr,,5.16,,,,0.57,,,,,,,,,,,,,,,,,,,,187.8,270.5,20.4,,,,,,,,,
Mg-11Gd-1Zn,,1,,,,,,,,,,,,,,,,,,,,,,,,159,196,3,,,,,,,,,
Mg-11Gd-1Zn,,1,,,,,,,,,,,,,,,,,,,,,,,,191,33,9,,,,,,,,,
Mg-1.92Zn-0.08Gd,,1.92,,,,,,,,,,,,,,,,2,,,,,,,,291,343,11.4,,,,,,,,,
Mg-2.70Zn-0.47Gd,,2.7,,,,,,,,,,,,,,,,4,,,,,,,,228,320,15.8,,,,,,,,,
Mg-1.92Zn-0.08Gd,,1.92,,,,,,,,,,,,,,,,1,,,,,,,,410,434,14.6,,,,,,,,,
Mg-2.70Zn-0.47Gd,,2.7,,,,,,,,,,,,,,,,1,,,,,,,,417,444,13.1,,,,,,,,,
Mg-6Zn-1Mn-4Sn,,6,,,,,,,,,,,,,,,,,,,,,,82,,378,390,4.16,,,,,,,,,
Mg-6Zn-0.5Ca-1Y,,6,,0.5,,,,1,,,,,,,,,,,,,,,,,,166,284,14.7,,,,,,,,,
Mg-6Zn-0.2Ca-0.8Zr,,6,,0.2,,0.8,,,,,,,,,,,,,,,,,,,,310,357,18,,,,,,,,,
Mg-3.8Zn-2.2Ca-2.0Gd,,3.8,,2.2,,,,,,,,,,,,,,,,,,,,,,118.9,141.5,4.2,,,,,,,,,
Mg-5.5Zn-0.6Zr-0.8Gd,,5.5,,,,0.6,,,,,,,,,,,,,,,,,,,,242,327,22,,,,,,,,,
Mg97Zn1Y1Nd1,,,,,,,,1,,,,,,,,,,,,,,,,,,330,358,6.6,,,,,,,,,
Mg97Zn1Y1Sm1,,1,,,,,,,,,,,,,,,,,,,,,,,,324,361,9.3,,,,,,,,,
Mg-2.26Zn-0.38Mn-0.23Ce,,2.26,,,,,,,,,,,,,,,,,,,,,,,,168,260,27.1,,,,,,,,,
Mg-2Zn-8Y-1Er,,2,,,,,,8,,,,,,,,,,400,,,,,,,,94,162,7,,,,,,,,,
Mg-2Zn-8Y-1Er,,2,,,,,,8,,,,,,,,,,10,,,,,,,,275,359,19,,,,,,,,,
Mg-Nd-Zn-Zr ,,,,,,,,,,,,,,,,,,2,,,,,,,,308,312,12.2,,,,,,,,,
Mg-1.2Zn-1.5Y-0.44Zr,,1.2,,,,0.44,,1.5,,,,,,,,,,32,,,,,,,,78,122,7.2,,,,,,,,,
Mg-1.2Zn-1.5Y-0.44Zr,,1.2,,,,0.44,,1.5,,,,,,,,,,10,,,,,,,,178,236,28,,,,,,,,,
Mg-4Li-3Al,,,3,,,,4,,,,,,,,,,,,,,,,,,,82,236,,,,,,,,,,
Mg-4Li-5Al,,,5,,,,4,,,,,,,,,,,,,,,,,,,100,241,,,,,,,,,,
Mg-8Li-1Al,,,1,,,,8,,,,,,,,,,,,,,,,,,,,131,35,,,,,,,,,
Mg-8Li-1Al,,,1,,,,8,,,,,,,,,,,,,,,,,,,,214,12,,,,,,,,,
Mg-8Li-1Al,,,1,,,,8,,,,,,,,,,,,,,,,,,,105,163,37,,,,,,,,,
Mg-8Li-1Al,,,1,,,,8,,,,,,,,,,,,,,,,,,,169,202,12,,,,,,,,,
Mg-8Li-1Al,,,1,,,,8,,,,,,,,,,,,,,,,,,,185,212,14,,,,,,,,,
