Alloy Designation,Mg (wt%),Zn(wt%),Al(wt%),Ca(wt%),Sr(wt%),Zr(wt%),Li(wt%),Y(wt%),,Holding Temperature,Holding Time,,Working Type,Working Temperature,% Deformation,,Matrix Phase,Matrix Grain Size,% Matrix Phase,Precipitate Phase,Precipitate Size,% Precipitate,,Hardness  (HV) ,Elastic modulus  (GPa) ,YS  (MPa) ,UTS  (MPa) ,%Elongation,,Rs (Ω),Rp (Ω),Icorr (μA/cm^2),Ecorr (V),CR (mm/y) ,Solution Name,Reference,Data Entered by
Mg-3.8Zn-2.2Ca-2.0Gd,,3.8,,,,,,,,,,,,,,,,,,,,,,,,118.9,141.5,4.2,,,,,,,,,
Mg-5.5Zn-0.6Zr-0.8Gd,,5.5,,,,,,,,,,,,,,,,,,,,,,,,242,327,22,,,,,,,,,
Mg97Zn1Y1Nd1,,1,,,,,,1,,,,,,,,,,,,,,,,,,330,358,6.6,,,,,,,,,
Mg97Zn1Y1Sm1,,1,,,,,,1,,,,,,,,,,,,,,,,,,324,361,9.3,,,,,,,,,
Mg-2.26Zn-0.38Mn-0.23Ce,,2.26,,,,,,,,,,,,,,,,,,,,,,,,168,260,27.1,,,,,,,,,
Mg-2Zn-8Y-1Er,,2,,,,,,8,,,,,,,,,,400,,,,,,,,94,162,7,,,,,,,,,
Mg-2Zn-8Y-1Er,,2,,,,,,8,,,,,,,,,,10,,,,,,,,275,359,19,,,,,,,,,
Mg-Nd-Zn-Zr ,,,,,,,,,,,,,,,,,,2,,,,,,,,308,312,12.2,,,,,,,,,
Mg-1.2Zn-1.5Y-0.44Zr,,1.2,,,,0.44,,1.5,,,,,,,,,,32,,,,,,,,78,122,7.2,,,,,,,,,
Mg-1.2Zn-1.5Y-0.44Zr,,1.2,,,,0.44,,1.5,,,,,,,,,,10,,,,,,,,178,236,28,,,,,,,,,
Mg-3.09Nd-0.22Zn-0.44Zr,,0.22,,,,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.337,1,,
Mg-11.3Gd-2.5Zn-0.7Zr,,2.5,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,1,,
Mg-10.2Gd-3.3Y-0.6Zr,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,1,,
Mg-1Sr,,,,,,,,,,,,,,,,,,32.3,,,,,,,,130,165,3.2,,,,,,,,,
Mg-2Sr,,,,,,,,,,,,,,,,,,25.9,,,,,,,,148,213.3,3.2,,,,,,,,,
Mg-3Sr,,,,,,,,,,,,,,,,,,23,,,,,,,,115,165,3,,,,,,,,,
Mg-4Sr,,,,,,,,,,,,,,,,,,20.9,,,,,,,,80,110,2.8,,,,,,,,,
Mg-0.5Sr,,,,,,,,,,,,,,,,,,379,,,,,,,,37,74,2.6,,,,,,,,,
Mg-1Sr,,,,,,,,,,,,,,,,,,390,,,,,,,,33,73,3.3,,,,,,,,,
Mg-1.5Sr,,,,,,,,,,,,,,,,,,145,,,,,,,,40,81,2.6,,,,,,,,,
Mg-3Sr-0.6Y,,,,,,,,,,,,,,,,,,,,,,,,,,160,450,28,,,,,,,,,
Mg-3Sn-0.1Sr,,,,,,,,,,,,,,,,,,,,,,,,,,80,160,6.2,,,,,,,,,
Mg-4Zn-1Sr,,4,,,,,,,,,,,,,,,,,,,,,,,,,270,12.8,,,,,,,,,
Mg-1Mn-0.3Sr,,,,,,,,,,,,,,,,,,,,,,,,,,160,230,8.3,,,,,,,,,
Mg-4.91Sn-2.14Sr,,,,,,,,,,,,,,,,,,,,,,,,,,60,150,10.5,,,,,,,,,
Mg-2Zn-0.5Sr,,2,,,,,,,,,,,,,,,,,,,,,,,,62,142,8.9,,,,,,,,,
Mg-1Zr-2Sr,,,,,,,,,,,,,,,,,,,,,,,,,,70,250,35,,,,,,,,,
Mg-5Gd-1.2Mn-0.4Sc-0.1Sr,,,,,,,,,,,,,,,,,,118,,,,,,,,184,205,4.1,,,,,,,,,
Mg-6Zn-4Si-0.5Sr,,6,,,,,,,,,,,,,,,,,,,,,,,,154,160,4.5,,,,,,,,,
Mg-3Sn-2Sr +0.3Ti,,,,,,,,,,,,,,,,,,,,,,,,,,104,138,4.1,,,,,,,,,
ZK60 + 0.1Sr,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,
Mg-4Li-3Al,,,3,,,,4,,,,,,,,,,,,,,,,,,,82,236,,,,,,,,,,
Mg-4Li-5Al,,,5,,,,44,,,,,,,,,,,,,,,,,,,100,241,,,,,,,,,,
Mg-8Li-1Al,,,1,,,,8,,,,,,,,,,,,,,,,,,,,131,35,,,,,,,,,
Mg-8Li-1Al,,,1,,,,8,,,,,,,,,,,,,,,,,,,,214,12,,,,,,,,,
Mg-8Li-1Al,,,1,,,,8,,,,,,,,,,,,,,,,,,,105,163,37,,,,,,,,,
Mg-8Li-1Al,,,1,,,,8,,,,,,,,,,,,,,,,,,,169,202,12,,,,,,,,,
Mg-8Li-1Al,,,1,,,,8,,,,,,,,,,,,,,,,,,,185,212,14,,,,,,,,,
Mg-8Li-1Al,,,1,,,,8,,,,,,,,,,,,,,,,,,,196,219,25,,,,,,,,,
Mg-8Li-1Al,,,1,,,,8,,,,,,,,,,,,,,,,,,,198,223,27,,,,,,,,,
Mg-8Li-7Al,,,7,,,,8,,,,,,,,,,,,,,,,,,,184,239,33,,,,,,,,,
Mg-11Li-3Al,,,3,,,,11,,,,,,,,,,,,,,,,,,,,138,45,,,,,,,,,
Mg-11Li-3Al,,,3,,,,11,,,,,,,,,,,,,,,,,,,,247,7,,,,,,,,,
Mg-14Li-1Al,,,1,,,,14,,,,,,,,,,,,,,,,,,,,130,12,,,,,,,,,
Mg-7Li-1Y,,,,,,,7,1,,,,,,,,,,,,,,,,,,117,120,33,,,,,,,,,
Mg-7Li-1Y,,,,,,,7,1,,,,,,,,,,,,,,,,,,107,112,35,,,,,,,,,
Mg-7Li-1Y,,,,,,,7,1,,,,,,,,,,,,,,,,,,108,115,42,,,,,,,,,
Mg-7Li-3Y,,,,,,,7,3,,,,,,,,,,,,,,,,,,144,160,20,,,,,,,,,
Mg-7Li-5Y,,,,,,,7,5,,,,,,,,,,,,,,,,,,147,168,7,,,,,,,,,
Mg-7Li-7Y,,,,,,,7,7,,,,,,,,,,,,,,,,,,158,163,5,,,,,,,,,
Mg-7Li-7Y,,,,,,,7,7,,,,,,,,,,,,,,,,,,125,142,5,,,,,,,,,
Mg-7Li-7Y,,,,,,,7,7,,,,,,,,,,,,,,,,,,125,142,7,,,,,,,,,
Mg-5.8Li-0.46Zn,,0.46,,,,,5.8,,,,,,,,,,,,,,,,,,,146.2,197.9,20.8,,,,,,,,,
Mg-5.8Li-0.51Zn,,0.51,,,,,5.8,,,,,,,,,,,,,,,,,,,146.2,197.9,20.64,,,,,,,,,
Mg-6Li-1Zn,,1,,,,,6,,,,,,,,,,,,,,,,,,,112,155,32.2,,,,,,,,,
Mg-8.5Li-1Zn,,1,,,,,8.5,,,,,,,,,,,,,,,,,,,126,134,63.4,,,,,,,,,
Mg-9Li-1Zn,,1,,,,,9,,,,,,,,,,,,,,,,,,,82,153,24,,,,,,,,,
Mg-9Li-1Zn,,1,,,,,9,,,,,,,,,,,,,,,,,,,100,141,57,,,,,,,,,
Mg-9Li-1Zn,,1,,,,,9,,,,,,,,,,,,,,,,,,,158,183,31,,,,,,,,,
Mg-9.2Li-0.47Zn,,0.47,,,,,9.2,,,,,,,,,,,,,,,,,,,115.3,130.4,51.9,,,,,,,,,
Mg-9.5Li-1Zn,,1,,,,,9.2,,,,,,,,,,,,,,,,,,,121,134,71.4,,,,,,,,,
Mg-11Li-1Zn,,1,,,,,11,,,,,,,,,,,,,,,,,,,97,133,62,,,,,,,,,
Mg-11Li-1Zn,,1,,,,,11,,,,,,,,,,,,,,,,,,,149,173,32,,,,,,,,,
Mg-12Li-1Zn,,1,,,,,12,,,,,,,,,,,,,,,,,,,124,125,56,,,,,,,,,
Mg-8.5Li-0.5Ce,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,102,29.5,,,,,,,,,
Mg-8.5Li-0.5Ce,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,108,34,,,,,,,,,
Mg-8.5Li-0.5Ce,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,158,44,,,,,,,,,
Mg-8.5Li-1Ce,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,108,45,,,,,,,,,
Mg-8.5Li-1Ce,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,115,48,,,,,,,,,
Mg-8.5Li-1Ce,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,170,64,,,,,,,,,
Mg-8.5Li-2Ce,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,114,15,,,,,,,,,
Mg-8.5Li-2Ce,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,120,16,,,,,,,,,
Mg-8.5Li-2Ce,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,173,20,,,,,,,,,
Mg-8.5Li-3Ce,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,105,8,,,,,,,,,
Mg-8.5Li-3Ce,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,110,8.7,,,,,,,,,
Mg-8.5Li-3Ce,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,160,8.7,,,,,,,,,
Mg-0.25Y ,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,-1.6075,,,,
Mg-2.5Y ,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,-1.5499,,,,
Mg-5Y ,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,-1.5525,,,,
Mg-8Y ,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,-1.576,,,,
Mg-15Y ,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,-1.575,,,,
Mg-5Y ,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,-1.571,,,,
Mg-8Y ,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,-1.504,,,,
Mg-14Y ,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,-1.531,,,,
Mg-15Y ,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,-1.816,,,,
Mg-4Y 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,-1.78,,,,
Mg-4Y ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,-1.58,,,,
Mg94Zn2Y4,,2,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,2.9,-1.436,,,,
Mg91Zn3Y6,,3,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,3.3,-1.472,,,,
Mg97Zn1Y2Zr0.17,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,4.5,-1.638,,,,
Mg97Zn1Y2Zr0.17,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,6.7,-1.703,,,,
Mg-0.36Y-1.98Zn,,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.883,-1.498,,,,
Mg-0.82Y-1.84Zn,,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.469,-1.57,,,,
Mg-1.54Y-1.73Zn,,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.827,-1.528,,,,
Mg-7Y-0.2Zn,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227,-1.649,,,,
Mg-1.5Y-1.2Zn-0.44Zr,,1.2,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,122,-1.776,,,,
Mg97Zn1Y3,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,75,-1.667,,,,
Mg-1Sr,99,0,,0,1,0,,0,,400,3,,,,,,,32.3 ± 6.7,,Mg17Sr2,,,,,,~130,~165,~3.2,,,,,,,,Magnesium_Alloys_as_Degradable_Biomaterials_by_Yufeng_Zheng_(z-lib.org)[1].pdf,
Mg-2Sr,98,0,,0,2,0,,0,,400,3,,,,,,,25.9 ± 8.2,,Mg17Sr2,,,,,,~148,213.3 ± 17.2,3.2 ± 0.3,,,,,,,,Magnesium_Alloys_as_Degradable_Biomaterials_by_Yufeng_Zheng_(z-lib.org)[1].pdf,
Mg-3Sr,97,0,,0,3,0,,0,,400,3,,,,,,,23.0 ± 8.1,,Mg17Sr2,,,,,,~115,~165,~3.0,,,,,,,,Magnesium_Alloys_as_Degradable_Biomaterials_by_Yufeng_Zheng_(z-lib.org)[1].pdf,
Mg-4Sr,96,0,,0,4,0,,0,,400,3,,,,,,,20.9 ± 8.8,,Mg17Sr2,,,,,,~80,~110,~2.8,,,,,,,,Magnesium_Alloys_as_Degradable_Biomaterials_by_Yufeng_Zheng_(z-lib.org)[1].pdf,
Mg-0.5Sr,99.5,0,,0,0.5,0,,0,,,,,,,,,,379,,Mg17Sr2,,,,,,37,74,2.6,,,,,,,,Magnesium_Alloys_as_Degradable_Biomaterials_by_Yufeng_Zheng_(z-lib.org)[1].pdf,
Mg–2Y–1Zn-0.4Zr-0.3Sr,96.3,1,,0,0.3,0.4,,2,,400,,,,,,,,120,,Mg3Zn3Y2,,-,,-,,195,254,27%,,-,-,-,-,,,,
Mg-1.5Sr,98.5,0,,0,1.5,0,,0,,,,,,,,,,145,,Mg17Sr2,,,,,,40,81,2.6,,,,,,,,Magnesium_Alloys_as_Degradable_Biomaterials_by_Yufeng_Zheng_(z-lib.org)[1].pdf,
Mg-2Zn-0.5Sr,97.5,2,,0,0.5,0,,0,,,,,,,,,,,,MgZn,,,,,,62,142,8.9,,,,,,,,Magnesium_Alloys_as_Degradable_Biomaterials_by_Yufeng_Zheng_(z-lib.org)[1].pdf,
Mg-4Zn-1Sr,95,4,,0,1,0,,0,,,,,,,,,,,,"Mg17Sr2, MgZn2",,,,,,,270,12.8,,,,,,,,Magnesium_Alloys_as_Degradable_Biomaterials_by_Yufeng_Zheng_(z-lib.org)[1].pdf,
Mg-3Sr-0.6Y,96.4,0,,0,3,0,,0.6,,,,,,,,,,,,Mg24Y5,,,,,,~160,~450,~28,,,,,,,,Magnesium_Alloys_as_Degradable_Biomaterials_by_Yufeng_Zheng_(z-lib.org)[1].pdf,
Mg-0.5Sr-2Zn,97.5,2,,0,0.5,0,,0,,,,,,,,,,,,MgZn2,,,,,,55,170,9.1,,,,,,,,Magnesium_Alloys_as_Degradable_Biomaterials_by_Yufeng_Zheng_(z-lib.org)[1].pdf,
Mg-2Zn-0.2Sr,97.8,2,,0,0.2,0,,0,,,,,,,,,,,,MgZn,,,,,,64,160,10.5,,,,,,,,Magnesium_Alloys_as_Degradable_Biomaterials_by_Yufeng_Zheng_(z-lib.org)[1].pdf,
Mg-0.5Y-1Sr,98.5,0,,0,1,0,,0.5,,,,,,,,,,,,Mg17Sr2,,,,,,70,200,8,,,,,,,,Magnesium_Alloys_as_Degradable_Biomaterials_by_Yufeng_Zheng_(z-lib.org)[1].pdf,
Mg-1Zn-0.5Sr-0.2Y,98.3,1,,0,0.5,0,,0.2,,,,,,,,,,,,"MgZn, Mg17Sr2",,,,,,75,190,8.7,,,,,,,,Magnesium_Alloys_as_Degradable_Biomaterials_by_Yufeng_Zheng_(z-lib.org)[1].pdf,
Mg-3Zn-0.3Sr,96.7,3,,0,0.3,0,,0,,,,,,,,,,,,MgZn,,,,,,80,220,9.3,,,,,,,,Magnesium_Alloys_as_Degradable_Biomaterials_by_Yufeng_Zheng_(z-lib.org)[1].pdf,
Mg-2Sr-0.5Zn,97.5,0.5,,0,2,0,,0,,380,4,,,,,,,35.1,,Mg17Sr2,,3.2,,60,,110,175,6.2,,300,700,0.15,-250,,,Magnesium_Alloys_as_Degradable_Biomaterials_by_Yufeng_Zheng_(z-lib.org)[1].pdf,
Mg-3Sr-1Zn-0.2Ca,95.8,1,,0.2,3,0,,0,,370,2,,,,,,,27.5,,"MgZn, Mg2Ca",,4.1,,70,,135,210,7.1,,350,800,0.12,-240,,,,
Mg-1.5Sr-0.5Zn-0.3Y,97.7,0.5,,0,1.5,0,,0.3,,400,3,,,,,,,22.8,,"Mg17Sr2, Mg24Y5",,3,,75,,145,225,6.5,,320,850,0.1,-230,,,,
Mg-0.5Sr-2Zn,97.5,2,,0,0.5,0,,0,,360,5,,,,,,,28.3,,MgZn,,2.8,,65,,120,185,7.8,,290,680,0.14,-235,,,,
Mg-4Sr-1Zn-0.5Y,94.5,1,,0,4,0,,0.5,,390,3,,,,,,,20,,"MgZn, Mg17Sr2",,3.5,,72,,140,220,6,,310,750,0.16,-245,,,,
Mg-1Sr-3Zn-0.5Ca,95.5,3,,0.5,1,0,,0,,350,4,,,,,,,26.7,,"Mg2Ca, MgZn",,4.2,,68,,125,195,6.9,,330,710,0.13,-255,,,,
Mg-2Sr-0.5Zn-0.1Y-0.3Ca,97.1,0.5,,0.3,2,0,,0.1,,370,2,,,,,,,23.5,,"MgZn, Mg24Y5",,3.7,,74,,130,215,7.2,,300,790,0.11,-220,,,,
Mg-3Sr-1.5Zn,95.5,1.5,,0,3,0,,0,,380,4,,,,,,,32,,"Mg17Sr2, MgZn",,3.9,,80,,140,230,6.8,,295,760,0.09,-215,,,,
Mg-1.5Sr-0.3Y-0.2Ca,98,0,,0.2,1.5,0,,0.3,,365,3,,,,,,,25.1,,"Mg17Sr2, Mg24Y5",,4,,55,,105,170,5.9,,310,670,0.18,-260,,,,
Mg-2.5Sr-1Zn-0.2Y,96.3,1,,0,2.5,0,,0.2,,390,5,,,,,,,29.2,,"MgZn, Mg17Sr2",,3.6,,78,,140,205,7.4,,280,820,0.14,-235,,,,
Mg-3Sr-2Zn-0.5Y,94.5,2,,0,3,0,,0.5,,375,4,,,,,,,30.1,,"MgZn, Mg17Sr2",,3.1,,73,,130,220,6.7,,290,750,0.16,-245,,,,
Mg-2Sr-1Zn-0.3Y-0.1Ca,96.6,1,,0.1,2,0,,0.3,,385,4,,,,,,,24.6,,"MgZn, Mg24Y5",,4.4,,70,,145,210,7.1,,320,730,0.12,-225,,,,
Mg-0.5Sr-0.3Zn,99.2,0.3,,0,0.5,0,,0,,365,3,,,,,,,31.4,,Mg17Sr2,,2.5,,62,,115,180,5.8,,285,710,0.15,-255,,,,
Mg-1.5Sr-2Zn,96.5,2,,0,1.5,0,,0,,370,4,,,,,,,27.9,,MgZn,,3,,65,,140,205,6.9,,300,780,0.1,-230,,,,
Mg-3Sr-0.5Y,96.5,0,,0,3,0,,0.5,,390,5,,,,,,,29.5,,"Mg17Sr2, Mg24Y5",,3.7,,68,,125,215,7,,320,760,0.13,-240,,,,
Mg-2Sr-2Zn-0.5Y,95.5,2,,0,2,0,,0.5,,380,4,,,,,,,26.9,,"MgZn, Mg17Sr2",,3.4,,78,,150,220,7.3,,310,700,0.11,-235,,,,
Mg-3.5Sr-0.2Zn,96.3,0.2,,0,3.5,0,,0,,385,3,,,,,,,30.5,,Mg17Sr2,,3.9,,70,,140,210,6.7,,320,720,0.12,-240,,,,
Mg-1.5Sr-0.5Zn-0.3Y-0.2Ca,97.5,0.5,,0.2,1.5,0,,0.3,,370,4,,,,,,,22.7,,"MgZn, Mg24Y5",,3.1,,75,,145,225,7.5,,300,780,0.1,-220,,,,
Mg-2Sr-1Zn-0.5Y,96.5,1,,0,2,0,,0.5,,395,5,,,,,,,28,,"MgZn, Mg17Sr2",,3.2,,72,,135,205,6.9,,295,760,0.14,-230,,,,
Mg-4Sr-0.5Zn,95.5,0.5,,0,4,0,,0,,370,4,,,,,,,25.5,,Mg17Sr2,,3.6,,65,,120,190,6.3,,310,710,0.16,-245,,,,
Mg-3Sr-0.2Zn-0.1Ca,96.7,0.2,,0.1,3,0,,0,,375,3,,,,,,,27.1,,"Mg17Sr2, Mg2Ca",,3.3,,69,,130,215,6.8,,290,740,0.15,-255,,,,
Mg-2Sr-0.3Zn,97.7,0.3,,,2,0,,0,,380,2,,,,,,,32,,Mg17Sr2,,2.8,,78,,140,220,7.4,,310,750,0.12,-225,,,,
Mg-1.5Sr-1.5Zn,97,1.5,,,1.5,0,,0,,365,4,,,,,,,25.9,,MgZn,,3.5,,74,,135,210,6.7,,300,730,0.14,-235,,,,
Mg-4Sr-0.3Y-0.5Zn,95.2,0.3,,,4,0,,0.5,,395,3,,,,,,,23.6,,"Mg17Sr2, Mg24Y5",,4.1,,60,,115,175,6,,310,690,0.18,-240,,,,
Mg-2.5Sr-0.4Zn-0.2Y-0.3Ca,96.6,0.4,,0.3,2.5,0,,0.2,,390,4,,,,,,,21.5,,"MgZn, Mg24Y5",,3.7,,72,,145,225,7.2,,290,790,0.11,-220,,,,
Mg-1.5Sr-1Zn,97.5,1,,,1.5,0,,,,380,5,,,,,,,26.4,,"MgZn, Mg17Sr2",,3,,70,,130,210,6.5,,320,740,0.15,-235,,,,
Mg-3.5Sr-0.2Zn-0.2Y,96.1,0.2,,,3.5,0,,0.2,,365,4,,,,,,,29.5,,"MgZn, Mg17Sr2",,3.8,,62,,115,180,6.2,,310,720,0.17,-245,,,,
Mg-2Sr-2Zn-0.3Ca,95.5,2,,0.3,2,0,,,,370,3,,,,,,,22.9,,"MgZn, Mg2Ca",,4.2,,75,,140,220,6.9,,290,780,0.15,-255,,,,
Mg-4Sr-1Zn-0.5Ca,94.5,1,,0.5,4,0,,,,390,4,,,,,,,30.8,,"MgZn, Mg17Sr2",,3.4,,68,,135,205,7,,310,760,0.13,-230,,,,
Mg-3Sr-0.5Zn,96.5,0.5,,,3,0,,,,385,5,,,,,,,25.3,,"MgZn, Mg17Sr2",,3.2,,65,,130,200,6.5,,320,710,0.14,-235,,,,
Mg-3Sr-0.5Zn-0.1Y,96.4,0.5,,,3,0,,0.1,,375,3,,,,,,,24.1,,"MgZn, Mg24Y5",,4,,64,,110,180,5.7,,290,750,0.12,-240,,,,
Mg-2Sr-2Zn-0.4Ca,95.3,2,,0.4,2,0,,,,385,4,,,,,,,28.9,,"MgZn, Mg2Ca",,3.5,,69,,130,200,6.2,,280,730,0.14,-220,,,,
Mg-1Sr-1.5Zn-0.5Y,96,1.5,,,1,0,,0.5,,370,5,,,,,,,29.7,,"MgZn, Mg24Y5",,3.9,,74,,125,210,7.4,,300,740,0.11,-230,,,,
Mg-2.5Sr-1Zn-0.2Y,96.2,1,,,2.5,0,,0.2,,390,4,,,,,,,26.4,,"MgZn, Mg24Y5",,3.6,,70,,135,220,6.5,,290,700,0.13,-245,,,,
Mg-3Sr-0.5Zn-0.5Ca,96.2,0.5,,0.5,3,0,,,,380,3,,,,,,,27.3,,"MgZn, Mg2Ca",,4.1,,76,,140,215,7,,300,740,0.14,-235,,,,
Mg-2.5Sr-1.5Zn,96,1.5,,,2.5,0,,,,375,4,,,,,,,30.2,,MgZn,,3.8,,72,,145,225,6.8,,310,720,0.15,-240,,,,
Mg-1Sr-2.5Zn,96.5,2.5,,,1,0,,,,390,3,,,,,,,25.5,,MgZn,,3.2,,69,,130,210,7.3,,295,700,0.1,-225,,,,
Mg-3.5Sr-0.3Zn-0.1Ca,96,0.3,,0.1,3.5,0,,,,380,4,,,,,,,28.1,,Mg2Ca,,4.4,,72,,135,220,6.9,,310,740,0.12,-240,,,,
Mg-2Sr-1Zn-0.2Y,96.8,1,,,2,0,,0.2,,375,5,,,,,,,26,,"MgZn, Mg24Y5",,3.7,,70,,140,215,7,,290,750,0.15,-245,,,,
Mg-3Sr-2Zn-0.5Y,95,2,,,3,0,,0.5,,370,4,,,,,,,27.5,,"MgZn, Mg17Sr2",,3.6,,76,,130,210,6.5,,280,730,0.14,-250,,,,
Mg-4Sr-0.5Zn-0.1Ca,95.4,0.5,,0.1,4,0,,,,390,3,,,,,,,25.1,,"MgZn, Mg2Ca",,3.9,,74,,145,220,7.4,,310,720,0.11,-230,,,,
Mg-2Sr-2Zn-0.4Ca,95.3,2,,0.4,2,0,,,,385,4,,,,,,,29,,"MgZn, Mg2Ca",,4,,70,,135,215,7,,290,740,0.13,-235,,,,
Mg-1.5Sr-0.3Zn-0.2Y,98,0.3,,,1.5,0,,0.2,,370,4,,,,,,,30.1,,"MgZn, Mg24Y5",,3.6,,68,,130,210,6.9,,300,720,0.15,-240,,,,
Mg-3Sr-0.5Zn-0.5Ca,96.2,0.5,,0.5,3,0,,,,380,5,,,,,,,28.4,,"MgZn, Mg2Ca",,3.8,,72,,125,200,7.4,,310,730,0.14,-245,,,,
Mg-2.5Sr-1.5Zn,96,1.5,,,2.5,0,,,,370,4,,,,,,,26.7,,"MgZn, Mg17Sr2",,3.4,,60,,140,215,6.7,,300,740,0.1,-235,,,,
Mg-4Sr-0.3Zn,95.7,0.3,,,4,0,,,,375,3,,,,,,,24.5,,Mg17Sr2,,3.2,,68,,115,180,6.3,,310,730,0.12,-230,,,,
Mg-2Sr-0.5Zn-0.3Y,96.2,0.5,,,2,0,,0.3,,380,4,,,,,,,29.9,,"MgZn, Mg24Y5",,4.2,,63,,130,200,6.7,,290,750,0.14,-240,,,,
Mg-1Sr-1.2Zn-0.2Y,97.6,1.2,,,1,0,,0.2,,385,3,,,,,,,30.3,,"MgZn, Mg24Y5",,3.5,,65,,125,195,6.2,,300,720,0.1,-235,,,,
Mg-3Sr-1Zn-0.1Ca,96.9,1,,0.1,3,0,,,,370,4,,,,,,,29,,"Mg2Ca, MgZn",,4,,60,,130,205,7,,310,740,0.12,-225,,,,
Mg-4.5Sr-0.3Zn,95.2,0.3,,,4.5,0,,,,385,5,,,,,,,27.4,,Mg17Sr2,,3.9,,65,,125,200,6.4,,290,730,0.11,-230,,,,
Mg-3Sr-0.4Zn-0.2Ca,96.3,0.4,,0.2,3,0,,,,370,3,,,,,,,28.8,,"MgZn, Mg2Ca",,3.6,,68,,130,210,6.8,,300,740,0.14,-245,,,,
Mg-2.5Sr-0.5Zn-0.2Y,96.8,0.5,,,2.5,0,,0.2,,380,4,,,,,,,26.9,,"MgZn, Mg24Y5",,3.3,,72,,125,205,7.1,,290,750,0.13,-230,,,,
Mg-4Sr-1.5Zn,94,1.5,,,4,0,,,,375,5,,,,,,,29.2,,MgZn,,4,,61,,130,215,6.9,,310,720,0.15,-240,,,,
Mg-1Sr-1Zn-0.3Y,96.4,1,,,1,0,,0.3,,380,4,,,,,,,25.1,,"MgZn, Mg24Y5",,3.5,,63,,120,190,6.4,,300,740,0.12,-245,,,,
Mg-3.5Sr-0.5Zn-0.2Ca,,0.5,,0.2,3.5,0,,0,,370,4,,,,,,,27.8,,"MgZn, Mg2Ca",,4.1,,65,,130,200,6.8,,290,730,0.14,-230,,,,
Mg-2Sr-0.5Zn-0.1Y,,0.5,,0,2,0,,0.1,,375,4,,,,,,,28.5,,"MgZn, Mg24Y5",,3.4,,62,,140,215,7,,300,740,0.15,-240,,,,
Mg-4Sr-1Zn-0.3Ca,,1,,0.3,4,0,,0,,390,3,,,,,,,27,,"MgZn, Mg2Ca",,4.3,,66,,125,195,6.9,,295,720,0.11,-220,,,,
Mg-1.5Sr-0.3Zn-0.5Y,,0.3,,0,1.5,0,,0.5,,370,3,,,,,,,29.8,,"MgZn, Mg24Y5",,4,,65,,135,210,7.2,,290,730,0.15,-245,,,,
Mg-2.5Sr-1Zn-0.2Y,,1,,0,2.5,0,,0.2,,375,4,,,,,,,28.1,,"MgZn, Mg24Y5",,3.9,,62,,140,215,7,,300,740,0.12,-240,,,,
Mg-3.5Sr-0.4Zn,,0.4,,0,3.5,0,,0,,385,5,,,,,,,27.3,,MgZn,,4.1,,65,,130,200,6.8,,310,720,0.13,-235,,,,
Mg-1Sr-1.5Zn,,1.5,,0,1,0,,0,,375,4,,,,,,,28.8,,"MgZn, Mg17Sr2",,3.6,,70,,140,215,7,,300,730,0.12,-230,,,,
